//Vanilla

//Vanilla Echoes

ec-Chimney1|Behold this empty husk of a land...
it-lttm-pearl-white28|It just has the number "8" written on it, the rest is empty.
it-lttm-pearl-white29|This is a blueprint for a support beam used for the construction of early industrial areas.<LINE>You can see these in use not too far from here.
it-lttm-pearl-white30|It's a design for a machine that makes bolts.
it-lttm-pearl-white31|It's a... recipe of some kind? "Two parts rot bar extract, one part bone ash." Nothing I recognize.
it-lttm-pearl-white32|It's an image of a hand drawn document. The calligraphy is quite beautiful, but the text itself is a very dull classical poem.
it-lttm-pearl-white33|This is the genome of a sulfur-processing microbe. In my opinion these were used far too late to have any effect.
it-lttm-pearl-white34|This one I don't know... It could be an old text, but some parts don't add up.<LINE>Might be a re-imagination of a classic text that I'm not familiar with.
it-lttm-pearl-white|It's a song, or hymn rather. Very repetitive.
it-lttm-pearl-white35|Can't make out anything legible on this one, sorry.
it-lttm-pearl-white36|A list of someone's lucky numbers. There are no less than 71 of them.
it-lttm-pearl-white37|"Dear diary..." and that's it.
it-lttm-pearl-white38|A model of a pipe section.
it-lttm-pearl-white39|It's a catalog of bolts and screws for sky-sail joinery. We iterators were built for pragmatism,<LINE>so it is an understatement to say that we we're not known for our appreciation of beauty... but<LINE>the sky-sails in flight during the big festivals always filled my soul with emotion.
it-lttm-pearl-white40|It's the blueprint for a small incense purification filter. Life on the superstructure archologies
it-lttm-pearl-white41|An image... of five bottles, standing on a surface made of... plants? I have no idea what this is.
it-lttm-pearl-white42|No. I don't want to talk about the content of this pearl.
it-lttm-pearl-white43|A schematic of a bunch of gas pipes. I don't know the purpose for this machine,<LINE>but it doesn't look particularly well crafted.
it-lttm-pearl-white44|It's just the numbers 14, 13, 5, repeated over and over. I have no idea what the purpose for this would be.
it-lttm-pearl-white45|A small portion is still legible: "and Thus we Conclude, that Gold and Water shall..."<LINE>Some sort of metaphysical or alchemical treatise perhaps.
it-lttm-pearl-white46|Oh? This contains an image of another pearl just like it. Let me look... yes, as I thought, the image also contains<LINE>an image of a pearl in it, and so on. Some comedian playing recursion games, I would guess.

it-lttm-pearl-FPChamber1|It's an active working memory - raw data has been dropped here in order to later be<LINE>pasted to a currently occupied memory conflux. Without context it's just a jumble.
it-lttm-pearl-FPChamber2|It is the impression of being a small creature, like a wall climbing lizard, and looking<LINE>up into the branches of a big tree. The last third is partly overwritten with a number<LINE>series I vaguely recognize, but without my memory...
it-lttm-pearl-FPChamber3|A common prayer mantra repeated 7110 times. Each repetition has some slight random variations, which seem to have been written later.
it-lttm-pearl-FPChamber4|It's an image of a single grey cloud, hovering above a surface of white clouds under a deep blue sky.
it-lttm-pearl-FPChamber5|Two... intertwined number series? I don't quite understand the utility of this.<LINE>Might a key for a cipher processor, customized for some other data which is impossible to infer from this.
it-lttm-pearl-FPChamber6|It's qualia, or a moment - a very short one. Someone is holding a black stone,<LINE>and twisting it slightly as they drag their finger across the rough surface.<LINE>The entire sequence is shorter than a heartbeat, but the resolution is extraordinary.
it-lttm-pearl-FPChamber7|An active working memory. Without knowing where this was cut from or where it's to be pasted to,<LINE>it is not really possible to decipher it. If I had to guess, I would say it has something to<LINE>do with trance inducing number series.
it-lttm-pearl-FPChamber8|It's just an active working memory, I can't really tell you anything without the context.
it-lttm-pearl-FPChamber9|Without the process surrounding this data there isn't much I can tell you. It might have something to do with Void Fluid simulation...
it-lttm-pearl-FPChamber10|This one is completely blank. Actually, blanker than blank, it must have been deliberately<LINE>overwritten with repeating negative versions of itself for thousands of iterations.
it-lttm-pearl-FPChamber11|A memory... but not really visual, or even concrete, in its character. It reminds of<LINE>the feeling of a warm wind, but not the physical feeling but the... inner feeling.<LINE>I don't think it has much utility unless you are doing some very fringe Regeneraist research.

//Moon neuron interactions

it-lttm-ISeeThatSomeone1|I see that someone has given you the gift of communication.<LINE>Must have been Five Pebbles, as you don't look like you can travel very far...
it-lttm-SickYouKnow1|He's sick, you know. Being corrupted from the inside by his own experiments. Maybe they all are by now, who knows.<LINE>We weren't designed to transcend and it drives us mad.

it-lttm-FirstSeeSurvWith5Neurons1|Hello little creature.
it-lttm-FirstSeeSurvWith5Neurons1|What are you? If I had my memories I would know...

it-lttm-MeetSurv3Neurons1|You!
it-lttm-MeetSurv3Neurons2|...you ate... me. Please go away. I won't speak... to you. I... CAN'T speak to you... because... you ate...me...

it-lttm-MeetSurv2Neurons1|Get... get away... white.... thing.
it-lttm-MeetSurv2Neurons1|Please... thiss all I have left.

it-lttm-GiveBackNeuron1|I am grateful - the relief is indescribable!
it-lttm-GiveBackNeuron2|...
it-lttm-GiveBackNeuron3|I could read a bit of Five Pebbles in this neuron before formatting it. His condition has severely deteriorated since last I<LINE>heard of him. The frustration he feels is profound, and that angst has seeped into every part of him, every neuron.
it-lttm-GiveBackNeuron4|We were supposed to help everyone, you know. Everything. That was our purpose: a great gift to the lesser beings of the world.<LINE>When facing our inability to do so, we all reacted differently. Many with madness.
it-lttm-GiveBackNeuron5|Some, out there, might still be trying. Communications have been bad for a long time, and by now<LINE>I suspect most of us are isolated like me, or connected only in small groups.
it-lttm-GiveBackNeuron6|But even back when we were all more or less connected there were those who reacted to their task with anger.<LINE>I can only imagine they are angrier now, alone in their cans, left only with their insatiable drive.
it-lttm-GiveBackNeuron7|But to be honest, I don't know how many of us are still alive at this point.

it-lttm-GiveNeuronNeverTaken1|After all this time, a lifeline. Thank you.
it-lttm-GiveNeuronNeverTaken2|I'll never feel the power I once had, but this is something to sustain an old soul.
it-lttm-GiveNeuronNeverTaken3|I could read a bit of Five Pebbles in this neuron before formatting it.<LINE>A ghost left from his processing routines.
it-lttm-GiveNeuronNeverTaken4|Erratic... Pulse. "Erratic Pulse." I wonder what that means.

it-lttm-FirstEnc4Neurons1|Oh so you've returned.
it-lttm-FirstEnc4Neurons2|Come to take more from me? My memories, my thoughts... just something to fill your stomach?
it-lttm-FirstEnc4Neurons3|No... never mind.
it-lttm-FirstEnc4Neurons4|It's useless to be angry at an animal following its instincts. Once, a single neuron meant nothing to me...



// Give Moon random junk

it-lttm-GiveFlower1|This is a hallucinogenic plant. They used to call it a 'Wheel Flower'. It became the symbol for enlightenment as it momentarily<LINE>enables a creature to let go if its carnal self, and to contact the selves of other planes - dreams, memories, imagined worlds.
it-lttm-GiveFlower2|Very long ago, they would eat these and stare into the fire.

it-lttm-GiveBlueFruit1|It's the pupa of a bug! If you don't mind, I'm a bit squeamish things like that, so would you eat it up already?

it-lttm-GiveFlashbang1|It's a part of some kind of plant. The glowing is strange...<LINE>I wouldn't look directly into it.

it-lttm-GiveVultureMask1|I honestly can't tell what this is. It's light but strong... appears to be some composite material interwoven with bone.<LINE>It could be part of an animal or purposed organism, but in my current state I'm unable to recognize it.

it-lttm-GivePuff1|The flowering body of some fungus. It has high pressure built up inside - when it explodes the spores will spread everywhere.

it-lttm-GiveJelly1|This is a jellyfish, look out for its stingers!

it-lttm-GiveLantern1|It appears to be... a pupa shell, smeared on the inside with a glowing substance?<LINE>Perhaps a paste of some glowing insect? I honestly don't know.

it-lttm-GiveShroom1|Oh... Just don't eat too many of these.

it-lttm-GiveCherryBomb1|It's a branch of a fire bush - each of these nuts can explode.<LINE>It's unpleasant rather than dangerous, except to your ears perhaps.

it-lttm-GiveSlimeMould1|This is a slime mold plasmodium. Thank you, but I can't eat this.

it-lttm-GiveGrenade1|It's a lot of flammable powder stuffed into some kind of shell. I would be very careful around this!
it-lttm-GiveOverseerEye1|It is the remains of an overseer.
it-lttm-GiveOverseerEye2|Overseers act as our eyes on the outside.
it-lttm-GiveOverseerEye3|I used to have a lot of them, but I lost contact with them when I was neutered. My umbilical is cut.<LINE>So, since then I am not much more than what you are looking at - a little creature in a box.
it-lttm-GiveOverseerEye4|I suspect by now all my overseers are gone out there. Without me they would just roam around with no purpose.
it-lttm-GiveOverseerEye5|The scavengers tend to hunt them, it's one of their very few ways of expressing defiance.
it-lttm-GiveOverseerEye6|It's of course not completely impossible that there are a few left. Say hello if you see one.

it-lttm-GiveBubbleWeed1|It's a plant that keeps pressurised air in these globules.
it-lttm-GiveBubbleWeed2|I'm not very familiar with contemporary flora, so I can't tell you much more.

// Moon meettings

it-lttm-Revival1|He... hello
it-lttm-Revival2|Hello little... creature. You... you did this?
it-lttm-Revival3|One moment. My memory isn't responding. I... I have no idea...
it-lttm-Revival4|...must have been gone for...
it-lttm-Revival5|...
it-lttm-Revival6|Oh.
it-lttm-Revival7|Little creature...
it-lttm-Revival8|You are not well.
it-lttm-Revival9|I am so sorry to say, but you do not have much time left.
it-lttm-Revival10|If things are as they seem... thank you.
it-lttm-Revival11|I don't know why you spent your... last... remaining cycles helping me. But know that I<LINE>am deeply grateful. I have known very few beings who could aspire to such a noble thing.<LINE>You really are... an amazing little creature.
it-lttm-Revival12|I wish I could say I will always remember it....
it-lttm-Revival13|Little friend. Perhaps you already know this, and I don't know what consolation it might bring, but...
it-lttm-Revival14|You will wake right back up again.

it-lttm-HunterSecondVisit1|Hi! Little saviour!
it-lttm-HunterSecondVisit2|It is good to see you again.
it-lttm-HunterSecondVisit3|I wish I could help you like you have helped me... But like this, there is very little I can do.
it-lttm-HunterSecondVisit4|All I can do is express how thankful I am. You have given me<LINE>some additional time... despite not having a lot of it yourself.
it-lttm-HunterSecondVisit5|I hope... this was meaningful for you.
it-lttm-HunterSecondVisit6|It was for me.

it-lttm-MeetMonk1|Hello little creature.
it-lttm-MeetMonk2|Your shape is familiar to me. I feel as if I... might have met your kind before.
it-lttm-MeetMonk3|But my memory is so unreliable now.
it-lttm-MeetMonk4|I see that someone has given you the gift of communication.<LINE>Must have been Five Pebbles, as you don't look like you can travel very far...
it-lttm-MeetMonk5|He's sick, you know. Being corrupted from the inside by his own experiments. Maybe they all are by now, who knows.<LINE>We weren't designed to transcend and it drives us mad.
it-lttm-MeetMonk6|Hm...
it-lttm-MeetMonk7|Such a familiar feeling.

it-lttm-SurvRevisitAfterMark1|Perhaps... I saw you before?
it-lttm-SurvRevisitAfterMark2|You must be very brave to have made it all the way here. But I'm sorry to say your journey here is in vain.
it-lttm-SurvRevisitAfterMark3|As you can see, I have nothing for you. Not even my memories.
it-lttm-SurvRevisitAfterMark4|Or did I say that already?
it-lttm-SurvRevisitAfterMark5|I see that someone has given you the gift of communication. Must have been Five Pebbles, as you don't look like you can travel very far...
it-lttm-SurvRevisitAfterMark6|He's sick, you know. Being corrupted from the inside by his own experiments. Maybe they all are by now, who knows. We weren't designed to transcend and it drives us mad.
it-lttm-SurvRevisitAfterMark7|It is good to have someone to talk to after all this time! The scavengers aren't exactly good listeners. They do bring me things though, occasionally...

it-lttm-SurvAndMonkSecondMeetingHappy5Neurons1|Oh, hello!
it-lttm-SurvAndMonkSecondMeetingHappy5Neurons2|I wonder what it is that you want?
it-lttm-SurvAndMonkSecondMeetingHappy5Neurons3|There is nothing here. Not even my memories remain.
it-lttm-SurvAndMonkSecondMeetingHappy5Neurons4|Even the scavengers that come here from time to time leave with nothing. But... I have told you that already, haven't I?
it-lttm-SurvAndMonkSecondMeetingHappy5Neurons5|I do enjoy the company though. You're welcome to stay a while, quiet little thing.

it-lttm-MadAtYou5Neurons1|You again.

it-lttm-SurvAndMonkSecondMeeting5Neurons1|Oh, hello.
it-lttm-SurvAndMonkSecondMeeting5Neurons2|I wonder what it is that you want?
it-lttm-SurvAndMonkSecondMeeting5Neurons3|There is nothing here. Not even my memories remain.
it-lttm-SurvAndMonkSecondMeeting5Neurons4|Even the scavengers that come here from time to time leave with nothing. But... I have told you that already, haven't I?

it-lttm-SurvAndMonkSecondMeetingHappy4Neurons1|Hello there! You again!

it-lttm-SurvAndMonkSecondMeeting4Neurons1|Hello there You again!
it-lttm-SurvAndMonkSecondMeeting4Neurons2|I wonder what it is that you want?
it-lttm-SurvAndMonkSecondMeeting4Neurons3|I have had scavengers come by before. Scavengers! And they left me alive! But... I have told you that already, haven't I?
it-lttm-SurvAndMonkSecondMeeting4Neurons4|You must excuse me if I repeat myself. My memory is bad. I used to have a pathetic five neurons... And then you ate one. Maybe I've told you that before as well.

it-lttm-MadAtYou4Neurons1|Oh. You.

it-lttm-3Neurons1|You...
it-lttm-3Neurons2|Please don’t... take... more from me... Go.

it-lttm-2Neurons1|...leave...

// Moon following meettings

it-lttm-LikesYou-A1|Hello again, <little creature>!
it-lttm-LikesYou-B1|Hello, <little creature>! How have you been?
it-lttm-LikesYou-C1|Oh, <little creature>. Hello!
it-lttm-LikesYou-D1|It’s you, <little creature>! Hello.
it-lttm-LikesYou-E1|Ah... <little creature>, you’re here again!
it-lttm-LikesYou-F1|Ah... <little creature>, you’re back!

it-lttm-Iniferent-A1|Hello again, <little creature>.
it-lttm-Iniferent-B1|Hello, <little creature>. You’re here again.
it-lttm-Iniferent-C1|Oh, <little creature>. Hello.
it-lttm-Iniferent-D1|It’s you, <little creature>. Hello.
it-lttm-Iniferent-E1|Ah... <little creature>, you’re here again.
it-lttm-Iniferent-F1|Ah... <little creature>, you’re back.

it-lttm-Dislike-A1|Here again.
it-lttm-Dislike-B1|You. I wish you would stop coming here.
it-lttm-Dislike-C1|You again. Please leave me alone.
it-lttm-Dislike-D1|Oh, it's you, <little creature>.

it-lttm-3NeuronsFollowing|...you. ...leave me alone...

// Things Moon says before inspecting junk

it-lttm-GiveJunk-A1|What is that ?
it-lttm-GiveJunk-B1|Another gift ?
it-lttm-GiveJunk-C1|I will take a look.
it-lttm-GiveJunk-D1|Oh, what is that, <little creature>?
it-lttm-GiveJunk-E1|What is that, <little creature>?
it-lttm-GiveJunk-F1|Yet another gift?
it-lttm-GiveJunk-G1|Another gift for me?
it-lttm-GiveJunk-H1|I will take a look.
it-lttm-GiveJunk-I1|Yet another gift? You're quite curious, <little creature>!
it-lttm-GiveJunk-J1|Yet another thing? Your curiosity seems boundless, <little creature>.
it-lttm-GiveJunk-K1|Oh... I will look at it.
it-lttm-GiveJunk-L1|Something you want me to look at, I suppose, <little creature>?
it-lttm-GiveJunk-M1|Oh... Of course I will take a look
it-lttm-GiveJunk-N1|Oh... I will take a look
it-lttm-GiveJunk-O1|You want me to take a look at that?
it-lttm-GiveJunk-P1|Oh... Should I look at that?
it-lttm-GiveJunk-Q1|A gift for me, <little creature>?
it-lttm-GiveJunk-R1|A new gift for me, <little creature>?
it-lttm-GiveJunk-S1|Oh, what is that, <little creature>?
it-lttm-GiveJunk-T1|Something new you want me to look at, <little creature>?

// 4 Neurons

it-lttm-GiveJunkDislikesYou-A1|I have nothing to say to you, <little creature>.
it-lttm-GiveJunkDislikesYou-B1|Go away, <little creature>.
it-lttm-GiveJunkDislikesYou-C1|Leave me alone...
it-lttm-GiveJunkDislikesYou-D1|Stop! Stop giving me your junk!
it-lttm-GiveJunkDislikesYou-E1|Leave me alone! You terrible creature!

// 2-4 Neurons

it-lttm-GiveJunkDislikesYou-F1|No! <Little creature> ate... me!
it-lttm-GiveJunkDislikesYou-G1|Go... away! You ate... me!
it-lttm-GiveJunkDislikesYou-H1|No! Am... broken... because you...
it-lttm-GiveJunkDislikesYou-I1|No!
it-lttm-GiveJunkDislikesYou-J1|Leave... me alone. Terrible... creature...

// 1 Neuron

it-lttm-GiveJunkDislikesYou-K1|Go... away... bad... thing...
it-lttm-GiveJunkDislikesYou-L1|Too... broken...
it-lttm-GiveJunkDislikesYou-M1|No! You... killed... me!

// Stuff you've already given her
it-lttm-pearl-GiveAlreadyRead-A1|Oh, I have already read this one to you, <little creature>.
it-lttm-pearl-GiveAlreadyRead-B1|This one I’ve already read to you, <little creature>.
it-lttm-pearl-GiveAlreadyRead-C1|This one again, <little creature>?

it-lttm-GiveAlreadyReadJunk-A1|I think we have already talked about this one, <little creature>.
it-lttm-GiveAlreadyReadJunk-B1|I've told you about this one, <little creature>.
it-lttm-GiveAlreadyReadJunk-C1|<Little creature>, this one again?

it-lttm-TakeBackJunkWhileTalking-A1|Oh... Never mind, I suppose.
it-lttm-TakeBackJunkWhileTalking-B1|Want it back, <little creature>?
it-lttm-TakeBackJunkWhileTalking-C1|Oh... Yes, you're welcome to have it back.
it-lttm-TakeBackJunkWhileTalking-D1|Oh, you want it back?
it-lttm-TakeBackJunkWhileTalking-E1|And now you're taking it back.
it-lttm-TakeBackJunkWhileTalkingDislikesYou-A1|Yes, take it and leave me alone.
it-lttm-TakeBackJunkWhileTalkingDislikesYou-B1|And now you're taking it, apparently.

// Before reading a pearl

it-lttm-pearl-BeforeFirstReading1|Ah, you would like me to read this?
it-lttm-pearl-BeforeFirstReading2|It's a bit dusty, but I will do my best. Hold on...
it-lttm-pearl-BeforeSecondReading1|Another pearl! You want me to read this one too? Just a moment...
it-lttm-pearl-BeforeThirdReading1|And yet another one! I will read it to you.
it-lttm-pearl-BeforeFourthReading1|Another? You're no better than the scavengers!
it-lttm-pearl-BeforeFourthReadingLikesYou1|Let us see... to be honest, I'm as curious to see it as you are.
it-lttm-pearl-BeforeFithReadingOrMore-A1|The scavengers must be jealous of you, finding all these
it-lttm-pearl-BeforeFithReadingOrMore-B1|Here we go again, little archeologist. Let's read your pearl.
it-lttm-pearl-BeforeFithReadingOrMore-C1|... You're getting quite good at this you know. A little archeologist beast. Now, let's see what it says.
it-lttm-pearl-BeforeFithReadingOrMore-D1|And yet another one! I will read it to you.

it-lttm-pearl-Before5PPearl-A1|You would like me to read this?
it-lttm-pearl-Before5PPearl-A2|It's still warm... this was in use recently.
it-lttm-pearl-Before5PPearl-B1|A pearl... This one is crystal clear - it was used just recently.
it-lttm-pearl-Before5PPearl-C1|Would you like me to read this pearl?
it-lttm-pearl-Before5PPearl-C2|Strange... it seems to have been used not too long ago.
it-lttm-pearl-Before5PPearl-D1|This pearl has been written to just now!
it-lttm-pearl-Before5PPearl-E1|Let's see... A pearl...
it-lttm-pearl-Before5PPearl-E2|And this one is fresh! It was not long ago this data was written to it!

// Seeing scug with a fly

it-lttm-SeeWithFly-A1|That... That is for me?
it-lttm-SeeWithFly-B1|Ah... <little creature>, a neuron from Pebbles?
it-lttm-SeeWithFly-C1|Hello! That... Oh, thank you.
it-lttm-SeeWithFly-D1|Hello. That... Oh, thank you.
it-lttm-SeeWithFlyDislike-A1|You are bringing a neuron. Is it to taunt me?
it-lttm-SeeWithFlyDislike-B1|A neuron.
it-lttm-SeeWithFly3Neurons-A1|You... brought that... for me?
it-lttm-SeeWithFly2Neurons-A1|...oh... to... save me?

// Gifting Moon a fly

it-lttm-GiveNeuron4OrMoreHatesYou1|You... Strange thing. Now this?
it-lttm-GiveNeuron4OrMoreHatesYou2|I will accept your gift...
it-lttm-GiveNeuron4OrMoreHatesYou3|Thank you. I do wonder what you want.

it-lttm-GiveFirstNeuron1|After all this time, a lifeline. Thank you.
it-lttm-GiveFirstNeuron2|I'll never feel the power I once had, but this is something to sustain an old soul.
it-lttm-GiveFirstNeuron3|I could read a bit of Five Pebbles in this neuron before formatting it. A ghost left from his processing routines.
it-lttm-GiveFirstNeuron4|Erratic... Pulse. "Erratic Pulse." I wonder what that means.

it-lttm-GiveFirstNeuronDislikesYou1|I am grateful - the relief is indescribable!
it-lttm-GiveFirstNeuronDislikesYou2|I could read a bit of Five Pebbles in this neuron before formatting it. His condition has severely deteriorated since last I heard of him. The frustration he feels is profound, and that angst has seeped into every part of him, every neuron.
it-lttm-GiveFirstNeuronDislikesYou3|We were supposed to help everyone, you know. Everything. That was our purpose: a great gift to the lesser beings of the world. When facing our inability to do so, we all reacted differently. Many with madness.
it-lttm-GiveFirstNeuronDislikesYou4|Some, out there, might still be trying. Communications have been bad for a long time, and by now I suspect most of us are isolated like me, or connected only in small groups.
it-lttm-GiveFirstNeuronDislikesYou5|But even back when we were all more or less connected there were those who reacted to their task with anger. I can only imagine they are angrier now, alone in their cans, left only with their insatiable drive.
it-lttm-GiveFirstNeuronDislikesYou6|But to be honest, I don't know how many of us are still alive at this point.

it-lttm-GiveSecondNeuron1|You get these at Five Pebbles'? Thank you so much. I'm sure he won't mind.
it-lttm-GiveSecondNeuron2|Or actually I'm sure he would, but he has so many of these~ it doesn't do him any difference. For me though, it does! Thank you, little creature!

if-lttm-GiveNeuronFollowingA1|Thank you, again. I feel wonderful.
if-lttm-GiveNeuronFollowingB1|Thank you so very much!
if-lttm-GiveNeuronFollowingC1|It is strange... I'm remembering myself, but also... him.
if-lttm-GiveNeuronFollowingD1|Thank you... Sincerely.

it-lttm-GiveNeuron3NeuronsHatesYou1|You... Strange thing. Now this?
it-lttm-GiveNeuron3NeuronsHatesYou2|I will accept your gift...
it-lttm-GiveNeuron3NeuronsHatesYou3|Thank you... That is a little better. Thank you, creature.

it-lttm-GiveNeuron3Neurons1|Thank you... That is a little better. Thank you, creature.
it-lttm-GiveNeuron3Neurons2|Maybe this is asking too much... But, would you bring me another one?

it-lttm-GiveNeuron2Neurons1|...thank you... better...
it-lttm-GiveNeuron2Neurons2|still, very... bad.

it-lttm-GiveNeuron1Neuron1|You!
it-lttm-GiveNeuron1Neuron2|...you...killed...
it-lttm-GiveNeuron1Neuron3|...me

//Interupting Moon

//Leaving while talking

it-lttm-InteruptFirstTime1|Oh... You are leaving.
it-lttm-InteruptFirstTime2|Good bye, I suppose...

it-lttm-InteruptFirstTimeDislikesYou1|Oh, leaving. Please don’t come back.
it-lttm-InteruptFirstTimeLessThan4Neurons|...leaving now? Don’t... return.

it-lttm-InteruptSecondTime1|There you go again.
it-lttm-InteruptSecondTimeLessThan4Neurons1|again... leaving...
it-lttm-InteruptSecondTimeLessThan4Neurons2|...yes... leave.
it-lttm-InteruptSecondTimeDislikesYou1|Leaving again.

it-lttm-InteruptThirdTime1|Yet again leaving.
it-lttm-InteruptThirdTimeDislikesYou1|You’re leaving yet again. This time, stay away.
it-lttm-InteruptThirdTimeLessThan4Neurons1|This... time... don't... come back.

it-lttm-InteruptFourthTimeA1|Yes, there you go.
it-lttm-InteruptFourthTimeB1|Again.
it-lttm-InteruptFourthTimeC1|*sigh*
it-lttm-InteruptFourthTimeD1|This again.
it-lttm-InteruptFourthTimeE1|<Little creature>... Never mind.
it-lttm-InteruptFourthTimeDislikesYou1|Yes, there you go. This is ridiculous.
it-lttm-InteruptFourthTimeLessThan4Neurons1|Again? ... just, go.

it-lttm-InteruptFithTimeDislikesYou1|I don't know what to say. Never come back, creature!
it-lttm-InteruptFithTime1|Please don't come back.
it-lttm-InteruptFithTimeLessThan4Neurons1|...don’t... come back.
it-lttm-InteruptFithTimeDislikesYou1|I don't know what to say. Never come back, creature!
it-lttm-InteruptAfterFithTimeDislikesYou1|I will not speak to you any more.
it-lttm-InteruptAfterFithTimeLessThan4Neurons|I will...not speak to you...


//Moving too much while talking

it-lttm-MovingInteruptFirstTime1|Please. Be still for a moment.
it-lttm-MovingInteruptFirstTimeLessThan4Neurons1|...please... be still...

it-lttm-MovingInteruptSecondTime1|Little creature! Stay still and listen.
it-lttm-MovingInteruptSecondTimeLessThan4Neurons1|...stop...

it-lttm-MovingInteruptThirdTimeA1|<Little creature>! Stay still and listen.
it-lttm-MovingInteruptThirdTimeB1|I won't talk to you if you continue like this.
it-lttm-MovingInteruptThirdTimeC1|Why should I tolerate this?
it-lttm-MovingInteruptThirdTimeD1|STOP!
it-lttm-MovingInteruptThirdTimeE1|This again.
it-lttm-MovingInteruptThirdTimeF1|Leave me alone!

it-lttm-MovingInteruptFithTimeA1|I will not speak to you any more.
it-lttm-MovingInteruptFithTimeLessThan4Neurons1|I will...not speak to you...

//Grab a neuron fly

it-lttm-InteruptGrabNeuronFirstTime1|No, please, release it!
it-lttm-InteruptGrabNeuronFirstTime2|If you eat it or leave with it, I will die. I beg you.

it-lttm-InteruptGrabNeuronFirstTimeLessThan4Neurons1|NO! ... no. Let it go, please.
it-lttm-InteruptGrabNeuronFirstTimeLessThan4Neurons2|...please...

it-lttm-InteruptGrabNeuronSecondTime1|Release that, and leave. I will not speak to you any more.
it-lttm-InteruptGrabNeuronSecondTimeLessThan4Neurons1|NO! I will...not speak to you...


it-lttm-ReleaseGrabbedNeuron1|I must ask you... Don't do that again. <Little creature>, if you do that, I will not speak to you any more.
it-lttm-ReleaseGrabbedNeuronLessThan4Neurons1|Please... don't do... that. I... won't speak to you... if you do that.

it-lttm-ReleaseGrabbedNeuronLikesYou1|Thank you. I must ask you... Don't do that again. <Little creature>, if you do that, I will not speak to you any more.
it-lttm-ReleaseGrabbedNeuronLikesYouLessThan4Neurons1|Thank... you. I... won't speak to you... if you do that.

it-lttm-ReleaseGrabbedNeuronDislikesYou1|Never do that again. Or just kill me quickly. Whichever way. <Little creature>, if you do that, I will not speak to you any more.
it-lttm-ReleaseGrabbedNeuronDislikesYouLessThan4Neurons1|..don’t... do that. I... won't speak to you... if you do that.

//Resuming after an interuption

it-lttm-ResumeAfterLeavingFirstTime1|And you are back.
it-lttm-ResumeAfterLeavingFirstTimeLessThan4Neurons1|You... are back.

it-lttm-ResumeAfterLeavingSecondTime1|Back again.
it-lttm-ResumeAfterLeavingSecondTimeLessThan4Neurons1|And...back.

it-lttm-ResumeAfterLeavingThirdTime1|Here again.

it-lttm-ResumeAfterMovingFirstTime1|Thank you.
it-lttm-ResumeAfterMovingFirstTimeLessThan4Neurons1|Thank... you.

it-lttm-ResumeAfterInteruptFirstTime1|As I was saying...
it-lttm-ResumeAfterInteruptFirstTimeLessThan4Neurons1|I...said...

it-lttm-ResumeAfterInteruptSecondTime1|As I tried to say to you...
it-lttm-ResumeAfterInteruptSecondTimeLessThan4Neurons1|Tried to say... to you...

it-lttm-ResumeAfterInteruptThirdTime1|Little creature, why don't you stay calm and listen? As I tried to say to you...
it-lttm-ResumeAfterInteruptThridTimeLessThan4Neurons1|Stay! ... Still... And...listen!

it-lttm-ResumeAfterInteruptFourthTime1|And now you expect me to continue speaking?
it-lttm-ResumeAfterInteruptFourthTimeLessThan5NeuronsA1|First you hurt me, then you come back to annoy me. I wish I knew what was going on in that little head of yours.
it-lttm-ResumeAfterInteruptFourthTimeLessThan5NeuronsB1|Let us try again - not that it has worked well before. I was saying...
it-lttm-ResumeAfterInteruptFourthTimeLessThan4Neurons1|And...now you expect me to... talk again?

it-lttm-ResumeAfterInteruptFithTime1|If you behave like this, why should I talk to you?
it-lttm-ResumeAfterInteruptFithTime2|You come here, but you can't be respectful enough to listen to me. Will you listen this time?
it-lttm-ResumeAfterInteruptFithTime3|Look at me. The only thing I have to offer is my words. If you come here, I must assume you want me to speak? So then would you PLEASE listen? If not, you are welcome to leave me alone.
it-lttm-ResumeAfterInteruptFithTime4|Now if you'll let me, I will try to say this again.
it-lttm-ResumeAfterInteruptFithTimeLessThan4Neurons1|I am... too tired. Stop doing... this, or I... will not speak... to you again.

it-lttm-AnnoyedAtSlugMovingFirstTime1|<Little creature>... Please settle down.
it-lttm-AnnoyedAtSlugMovingFirstTimeLessThan4Neurons1|...stop...

it-lttm-AnnoyedAtSlugMovingSecondTime1|Please stop it!
it-lttm-AnnoyedAtSlugMovingSecondTimeLessThan4Neurons1|no...

it-lttm-AnnoyedAtSlugMovingThirdTimeA1|Why are you doing this?
it-lttm-AnnoyedAtSlugMovingThirdTimeB1|Please!
it-lttm-AnnoyedAtSlugMovingThirdTimeC1|Why should I tolerate this?
it-lttm-AnnoyedAtSlugMovingThirdTimeD1|STOP!
it-lttm-AnnoyedAtSlugMovingThirdTimeE1|This again.
it-lttm-AnnoyedAtSlugMovingThirdTimeF1|Leave me alone!

it-lttm-AnnoyedAtSlugMovingFithTime1|I will not speak to you any more.
it-lttm-AnnoyedAtSlugMovingFithTimeLessThan4Neurons1|I will...not speak to you...

it-lttm-StopAnnoying1|Thank you.
